Content,Video title,Video publish time,Impressions,Impressions click-through rate (%),Views,Average view duration,Watch time (hours)
Total,,,2134728,2.86,92069,0:05:12,7994.4935
3lvVJ2tRNWI,[LIVE] ESPORT7 MEDIA TOURNAMENT - GRAND FINAL,"Feb 19, 2023",313884,2.05,8094,0:04:19,582.6903
e3LjGPUyuBA,[LIVE] FUN MATCH MOBILE LEGENDS - INEWS TV VS TRANSTV | ESPORTS TRANS7,"Feb 8, 2023",45090,6.85,3743,0:02:25,150.9075
A2wA9kC9TE0,[LIVE] ESPORT7 MEDIA TOURNAMENT - PLAYOFF DAY 2,"Feb 17, 2023",125710,2.06,3466,0:06:29,374.5782
sd06cjJEQog,[LIVE] FUN MATCH MOBILE LEGENDS - CNBC IND VS METROTV | ESPORTS TRANS7,"Mar 16, 2023",56147,5.23,3329,0:02:27,136.5802
lC6gDq4Mofg,[LIVE] ESPORT7 MEDIA TOURNAMENT - PLAYOFF DAY 1,"Feb 15, 2023",21768,6.24,2531,0:10:35,447.0201
5YGBpF0dIJc,[LIVE] FUN MATCH MOBILE LEGENDS - SCTV VS T7 ESPORT | ESPORTS TRANS7,"Feb 3, 2023",114215,0.67,2523,0:06:00,252.6687
SrdHJbyMZsw,[LIVE] FUN MATCH MOBILE LEGENDS - {SMA HUTAMA VS SMK BPSK 2} - {ESPORT7 VS CNN IND} | ESPORTS TRANS7,"May 23, 2023",25285,7.8,2442,0:05:39,230.217
qmlcGdvXpNk,GRAND FINAL TURNAMEN ESPORT MOBILE LEGENDS RAMADAN CUP 2023 #mobilelegends #ramadan #esport7official,"Apr 12, 2023",1432,3.7,2275,0:00:18,11.914
HylQBX9fcUQ,[LIVE] FUN MATCH MOBILE LEGENDS - NET. TV VS TRANSTV | ESPORTS TRANS7,"Jan 26, 2023",71398,1.86,2188,0:08:14,300.6895
nKIIv315X54,[LIVE] FUN MATCH MOBILE LEGENDS - DETIKCOM VS TRANSVISION | ESPORTS TRANS7,"Feb 9, 2023",82035,0.94,1911,0:04:43,150.7494
